name,team,position,age,height,weight,bmi,spike_height,block_height,total_selections,is_captain,score_rank,attacks,blocks,serves,total_score,digs_per_set,sets_per_set,attack_success_rate
Agnieszka Kakolewska,POL,Middle Blocker,25,197,75,19.3,309,295,112,1,35,85,41,5,131,0.32,0.04,
Ai Kurogo,JPN,Outside Hitter,21,180,69,21.3,306,295,84,0,43,116,2,6,124,1.04,0.09,38.16
Aika Akutagawa,JPN,Middle Blocker,28,180,62,19.1,304,280,72,0,108,40,12,5,57,0.33,0.04,
Ajcharaporn Kongyot,THA,Outside Hitter,24,178,65,20.5,298,287,21,0,29,122,11,10,143,1.5,0.06,33.7
Akane Moriya,JPN,Libero,28,165,55,20.2,282,260,36,0,,,,,21,0.85,0,
Aleksandra Cirovic,SRB,Setter,22,175,57,18.6,285,275,25,0,221,1,3,0,4,0.28,0.83,
Aleksandra Tadic,SRB,Libero,22,174,60,19.8,270,265,10,0,,,,,21,0.42,0,
Alessia Orro,ITA,Setter,21,178,74,23.4,318,285,114,0,192,7,3,2,12,0.61,1.78,
Alla Galkina,RUS,Libero,27,178,65,20.5,295,290,15,0,,,,,21,1.35,0.07,
Amanda Francisco,BRA,Outside Hitter,31,180,62,19.1,304,286,1,0,79,69,6,7,82,1.05,0.04,
Amporn Hyapha,THA,Middle Blocker,34,180,71,21.9,301,290,55,0,134,27,8,3,38,0.12,0.06,
Ana Beatriz Correa,BRA,Middle Blocker,27,187,70,20,298,292,30,0,20,110,51,9,170,0.78,0.07,
Ana Bjelica,SRB,Opposite Spiker,27,190,78,21.6,310,305,183,0,46,103,7,10,120,1.21,0,
Ana Carolina Da Silva,BRA,Middle Blocker,28,183,73,21.8,290,290,0,0,214,3,2,0,5,0.01,0,
Ana Paula Borgo Bedani Guedes,BRA,Opposite Spiker,26,187,76,21.7,305,290,0,0,16,161,14,4,179,0.92,0.01,38.7
Ana Pejicic,SRB,Outside Hitter,19,190,69,19.1,299,288,0,0,244,1,0,0,1,0.02,0.02,
Andrea Drews,USA,Opposite Spiker,26,191,77,21.1,316,312,81,0,6,205,16,14,235,0.97,0.04,48.12
Angelina Lazarenko,RUS,Middle Blocker,21,193,80,21.5,320,305,22,0,62,65,25,10,100,0.37,0.04,
Anna Danesi,ITA,Middle Blocker,23,195,78,20.5,316,296,127,0,93,38,22,8,68,0.34,0.03,
Anna Kotikova,RUS,Opposite Spiker,20,185,71,20.7,306,300,7,0,171,18,0,1,19,0.13,0.06,
Anna Nicoletti,ITA,Opposite Spiker,23,193,86,23.1,306,290,6,0,153,21,2,3,26,0.24,0.03,
Anna Pogany,GER,Libero,25,170,60,20.8,280,270,17,0,,,,,21,0.7,0,
Anna Valkenborg,BEL,Libero,21,174,59,19.5,290,270,20,0,,,,,21,1.3,0.09,
Anne Buijs,NED,Outside Hitter,28,191,73,20,317,299,267,0,99,47,9,8,64,0.63,0,
Annick Meijers,NED,Outside Hitter,19,191,75,20.6,312,301,9,0,95,56,7,3,66,0.68,0.02,
Anniek Siebring,NED,Libero,22,180,68,21,302,287,9,0,,,,,21,0.05,0,
Asli Kalac,TUR,Middle Blocker,24,185,73,21.3,306,297,0,0,147,14,17,0,31,0.18,0.01,
Aya Watanabe,JPN,Middle Blocker,28,176,68,22,301,290,22,0,139,25,8,2,35,0.17,0.06,
Aylin Acar,TUR,Libero,24,169,68,23.8,300,290,11,0,,,,,21,1.31,0.04,
Beatrice Parrocchiale,ITA,Libero,24,168,59,20.9,286,258,132,0,,,,,21,0.99,0.07,
Bethania De La Cruz De Peña,DOM,Outside Hitter,32,188,70,19.8,330,320,235,0,5,185,35,21,241,1.63,0.05,37.68
Bianka Busa,SRB,Outside Hitter,25,187,74,21.2,312,298,140,0,128,33,4,5,42,0.6,0.04,
Bojana Gocanin,SRB,Libero,17,179,66,20.6,286,276,0,0,,,,,21,0.3,0.06,
Brankica Mihajlovic,SRB,Outside Hitter,28,190,83,23,302,290,169,0,168,18,1,1,20,0.3,0,
Brayelin Elizabeth Martinez,DOM,Outside Hitter,23,201,83,20.5,330,320,124,0,4,235,19,4,258,2.06,0.03,47.57
Britt Bongaerts,NED,Setter,23,185,68,19.9,296,284,80,0,193,1,5,6,12,0.74,1.91,
Britt Herbots,BEL,Outside Hitter,20,182,63,19,312,292,84,0,7,205,13,13,231,1.82,0.04,40.67
Britt Rampelberg,BEL,Libero,19,165,58,21.3,283,269,11,0,,,,,21,0.02,0,
Buse Unal,TUR,Setter,22,188,74,20.9,299,290,0,0,245,0,0,1,1,0.03,0.06,
Candida Estefany Arias Perez,DOM,Middle Blocker,27,194,68,18.1,320,315,134,0,109,25,28,3,56,0.25,0.02,
Cansu Özbay,TUR,Setter,23,182,78,23.5,298,290,83,0,129,14,17,11,42,1.34,5.16,
Carli Lloyd,USA,Setter,30,180,75,23.1,313,295,104,0,212,1,4,1,6,0.21,0.88,
Caterina Chiara Bosetti,ITA,Outside Hitter,25,179,62,19.4,310,292,155,0,152,18,4,4,26,0.33,0,
Celeste Plak,NED,Outside Hitter,24,190,87,24.1,314,302,257,0,98,55,6,3,64,0.49,0,
Celine Van Gestel,BEL,Outside Hitter,22,183,70,20.9,310,284,102,0,27,113,22,9,144,2.68,0.11,32.75
Changning Zhang,CHN,Outside Hitter,24,193,80,21.5,315,303,43,0,60,76,18,8,102,0.77,0.02,
Chatchu-On Moksri,THA,Outside Hitter,20,178,58,18.3,298,290,8,0,33,122,4,7,133,1.4,0.08,41.78
Chiaka Ogbogu,USA,Middle Blocker,24,188,73,20.7,318,307,47,0,25,100,33,14,147,0.38,0,
Chunlei Zeng,CHN,Opposite Spiker,30,187,67,19.2,315,315,149,0,137,30,4,1,35,0.49,0.03,
Cristina Chirichella,ITA,Middle Blocker,25,191,79,21.7,322,304,204,1,88,42,22,6,70,0.33,0.01,
Dae Young Jung,KOR,Middle Blocker,38,185,73,21.3,279,269,221,0,154,18,6,2,26,0.06,0,
Dana Rettke,USA,Middle Blocker,20,203,80,19.4,315,308,16,0,81,56,15,7,78,0.11,0,
Daria Pilipenko,RUS,Libero,29,177,69,22,285,270,6,0,,,,,21,1.98,0.19,
Daria Ryseva,RUS,Setter,21,175,69,22.5,282,266,7,0,230,0,3,0,3,0.13,0.35,
Dayeong Lee,KOR,Setter,23,180,63,19.4,291,271,83,0,155,7,10,9,26,1.74,4.34,
Demi Korevaar,NED,Middle Blocker,19,187,71,20.3,311,303,9,0,216,3,2,0,5,0.04,0,
Denise Hanke,GER,Setter,30,183,73,21.8,297,284,189,1,149,23,2,4,29,1.19,3.62,
Denise Imoudu,GER,Setter,24,180,67,20.7,290,280,11,0,233,2,0,0,2,0.21,0.74,
Di Yao,CHN,Setter,27,182,65,19.6,306,298,10,0,201,3,2,4,9,0.77,1.91,
Dominika Sobolska,BEL,Middle Blocker,28,187,83,23.7,309,292,36,0,100,41,18,3,62,0.51,0.04,
Dominika Strumilo,BEL,Outside Hitter,23,187,63,18,311,292,63,0,181,11,1,2,14,0.19,0,
Ebrar Karakurt,TUR,Outside Hitter,19,197,76,19.6,315,304,54,0,2,247,21,23,291,1.51,0.07,45.91
Ekaterina Efimova,RUS,Middle Blocker,26,192,70,19,305,295,14,0,82,49,21,7,77,0.17,0,
Ekaterina Orlova,RUS,Middle Blocker,32,193,77,20.7,307,301,5,0,156,15,10,1,26,0.19,0.02,
Elena Becheva,BUL,Opposite Spiker,21,185,70,20.5,296,288,0,0,226,3,0,0,3,0.02,0,
Elena Pietrini,ITA,Outside Hitter,19,188,73,20.7,330,306,69,0,9,199,8,16,223,1.09,0.03,45.75
Eline Timmerman,NED,Middle Blocker,21,192,78,21.2,303,295,23,0,104,34,22,6,62,0.35,0.05,
Elise Van Sas,BEL,Setter,22,188,74,20.9,308,290,42,0,218,2,1,1,4,0.07,0.12,
Emilija Zakic,SRB,Setter,25,180,72,22.2,290,275,4,0,242,1,0,0,1,0.25,0.62,
Erasma Moreno Martinez,DOM,Outside Hitter,28,186,75,21.7,304,289,28,0,210,5,1,0,6,0.02,0,
Eunji Choi,KOR,Outside Hitter,27,183,72,21.5,277,267,15,0,215,3,0,2,5,0.04,0,
Eunjin Park,KOR,Middle Blocker,20,187,73,20.9,296,281,58,0,122,27,10,10,47,0.4,0.04,
Evgeniya Startseva,RUS,Setter,30,185,68,19.9,294,290,94,1,237,2,0,0,2,0.06,0.06,
Ezgi Dilik,TUR,Setter,24,177,72,23,288,280,0,0,208,1,2,4,7,0.49,1.78,
Fang Duan,CHN,Outside Hitter,25,186,73,21.1,301,296,0,0,141,31,2,1,34,0.18,0,
Fatma Yildirim,TUR,Outside Hitter,29,180,64,19.8,304,292,0,0,124,33,6,8,47,0.68,0.01,
Feifan Ni,CHN,Libero,18,175,67,21.9,271,265,0,0,,,,,21,0.6,0.03,
Francesca Villani,ITA,Outside Hitter,24,186,85,24.6,305,280,0,0,196,10,0,1,11,0.16,0,
Gabriela Braga Guimaraes,BRA,Outside Hitter,25,180,65,20.1,305,289,9,0,3,241,29,8,278,1.97,0.03,43.9
Gaila Ceneida Gonzalez Lopez,DOM,Opposite Spiker,22,190,73,20.2,304,276,48,0,54,88,10,10,108,0.81,0,
Gergana Dimitrova,BUL,Outside Hitter,23,184,71,21,305,288,0,1,12,175,11,11,197,2.02,0.06,32.83
Gullapa Piampongsan,THA,Setter,28,176,62,20,280,274,0,0,223,1,0,3,4,0.26,0.62,
Gözde Yilmaz,TUR,Opposite Spiker,28,194,79,21,316,306,0,0,57,85,11,8,104,0.41,0,
Haleigh Washington,USA,Middle Blocker,24,190,82,22.7,307,295,43,0,64,54,33,10,97,0.27,0,
Hande Baladin,TUR,Outside Hitter,22,190,78,21.6,309,300,151,0,59,79,20,4,103,0.74,0,
Hanna Orthmann,GER,Outside Hitter,21,188,74,20.9,302,291,8,0,40,108,5,14,127,0.77,0,37.76
Hannah Tapp,USA,Middle Blocker,24,191,77,21.1,297,290,44,0,185,9,5,0,14,0,0,
Hanyu Yang,CHN,Middle Blocker,20,192,72,19.5,317,311,12,0,127,34,5,6,45,0.15,0.02,
Haruka Miyashita,JPN,Setter,25,177,61,19.5,298,272,149,0,234,1,0,1,2,0.24,0.33,
Heejin Kim,KOR,Opposite Spiker,28,185,80,23.4,305,290,198,0,15,169,4,12,185,1.68,0.06,32.07
Hester Jasper,NED,Outside Hitter,18,175,63,20.6,295,287,9,0,187,11,2,0,13,0.18,0,
Hyejin An,KOR,Setter,21,175,64,20.9,256,231,30,0,228,0,0,3,3,0.34,0.55,
Hyo Hee Lee,KOR,Setter,39,173,58,19.4,272,252,84,0,,,,,15,0.28,0.62,
Ilka Van De Vyver,BEL,Setter,26,180,79,24.4,296,273,163,1,148,10,8,12,30,2,5.04,
Indre Sorokaite,ITA,Opposite Spiker,31,183,83,24.8,314,292,129,0,10,169,12,24,205,1.45,0.06,41.63
Indy Baijens,NED,Middle Blocker,18,193,75,20.1,321,312,9,0,130,27,8,6,41,0.19,0,
Irina Voronkova,RUS,Outside Hitter,24,190,84,23.3,305,290,18,0,91,60,4,5,69,0.93,0.06,
Jana Franziska Poll,GER,Outside Hitter,31,185,69,20.2,310,290,71,0,146,25,4,2,31,0.55,0.02,
Jelena Blagojevic,SRB,Outside Hitter,31,181,67,20.5,302,284,70,0,113,39,6,9,54,0.89,0.02,
Jennifer Janiska,GER,Outside Hitter,25,184,58,17.1,298,288,128,0,97,48,6,10,64,1.26,0.02,
Jineiry Martinez,DOM,Middle Blocker,22,192,68,18.4,305,280,16,0,34,89,31,12,132,0.47,0.03,
Jiyoung Oh,KOR,Libero,31,170,61,21.1,267,252,63,0,,,,,21,2.23,0.06,
Jiyun Jeong,KOR,Opposite Spiker,18,180,71,21.9,295,280,36,0,140,31,2,2,35,0.11,0.02,
Joanna Wolosz,POL,Setter,29,181,71,21.7,303,281,62,0,194,7,3,2,12,0.49,1.79,
Jodie Guilliams,BEL,Outside Hitter,22,180,73,22.5,305,289,70,0,189,11,1,0,12,1.72,0.11,
Jordan Larson,USA,Outside Hitter,33,188,75,21.2,302,295,284,1,90,58,4,8,70,0.82,0,
Jordan Thompson,USA,Opposite Spiker,22,193,70,18.8,320,314,24,0,49,102,11,6,119,0.66,0.01,
Jordyn Poulter,USA,Setter,22,188,77,21.8,306,295,27,0,175,4,7,7,18,0.74,2.1,
Jovana Kocic,SRB,Middle Blocker,21,190,85,23.5,290,285,41,0,200,2,8,0,10,0.11,0,
Juah Lee,KOR,Middle Blocker,19,185,71,20.7,283,268,28,0,85,51,6,15,72,0.57,0.06,
Julia Isabelle Bergmann,BRA,Outside Hitter,18,196,78,20.3,301,289,5,0,225,2,1,0,3,0.07,0.01,
Julia Nowicka,POL,Setter,21,174,58,19.2,295,278,21,0,158,10,3,12,25,0.69,2.07,
Juliet Lohuis,NED,Middle Blocker,23,190,77,21.3,305,295,78,0,41,71,30,24,125,0.54,0,
Jutarat Montripila,THA,Outside Hitter,33,175,60,19.6,290,280,1,0,224,4,0,0,4,0.08,0,
Jutta Van De Vyver,BEL,Setter,23,173,72,24.1,299,277,18,0,,,,,15,0.19,0.26,
Kaja Grobelna,BEL,Opposite Spiker,24,188,72,20.4,325,299,100,0,11,166,20,12,198,1.46,0.05,36.09
Kamila Witkowska,POL,Middle Blocker,28,191,76,20.8,310,301,32,0,112,38,12,4,54,0.27,0.01,
Karolina Goliat,BEL,Opposite Spiker,23,189,79,22.1,308,295,45,0,166,16,2,2,20,0.23,0,
Karsta Lowe,USA,Opposite Spiker,26,194,75,19.9,315,305,100,0,161,19,4,0,23,0.05,0,
Katarina Jovic,SRB,Outside Hitter,20,191,76,20.8,292,284,5,0,243,1,0,0,1,0.02,0,
Katarina Lazovic,SRB,Outside Hitter,20,182,65,19.6,290,277,48,0,26,124,9,13,146,1.98,0.06,36.58
Kelsey Robinson,USA,Outside Hitter,27,188,73,20.7,307,298,158,0,30,110,12,18,140,1.37,0.07,
Kimberly Drewniok,GER,Opposite Spiker,22,188,73,20.7,311,298,18,0,135,34,0,3,37,0.32,0,
Kirsten Knip,NED,Libero,27,175,70,22.9,281,275,233,0,,,,,21,1.35,0.05,
Klaudia Alagierska,POL,Middle Blocker,23,190,76,21.1,297,290,51,0,111,25,16,14,55,0.25,0.01,
Kristina Kurnosova,RUS,Libero,22,176,62,20,288,278,5,0,,,,,21,0.31,0.04,
Kseniia Parubets,RUS,Outside Hitter,25,183,64,19.1,300,286,37,0,44,115,5,4,124,1.17,0.07,38.33
Kubra Caliskan,TUR,Middle Blocker,25,200,88,22,310,310,56,0,45,78,32,13,123,0.28,0.01,
Lara Nobre Cardoso G Filomeno,BRA,Middle Blocker,30,185,69,20.2,306,290,0,0,213,4,1,0,5,0.01,0,
Larysmer Martinez Caro,DOM,Outside Hitter,23,174,68,22.5,288,258,48,0,,,,,84,2.72,0.05,
Laura Dijkema,NED,Setter,29,184,70,20.7,293,279,367,0,183,8,4,2,14,1.19,4.47,
Lauren Carlini,USA,Setter,24,185,75,21.9,302,295,63,0,162,10,9,3,22,1.04,2.67,
Lauren Gibbemeyer,USA,Middle Blocker,31,187,71,20.3,307,293,147,0,160,13,9,1,23,0.05,0,
Leia Henrique Da Silva Nicolosi,BRA,Libero,34,160,60,23.4,275,269,5,0,,,,,21,2.6,0.05,
Lena Stigrot,GER,Outside Hitter,25,184,68,20.1,303,295,70,0,84,67,4,1,72,0.66,0.02,
Lenka Dürr,GER,Libero,29,171,59,20.2,280,270,194,0,,,,,21,3.51,0.09,
Leonie Schwertmann,GER,Middle Blocker,25,190,80,22.2,300,290,45,0,164,11,8,2,21,0.08,0,
Li Lin,CHN,Libero,27,171,65,22.2,294,294,84,0,,,,,21,1.37,0.05,
Linda Bock,GER,Libero,19,172,60,20.3,278,270,0,0,199,9,0,1,10,0.17,0.02,
Linyu Diao,CHN,Setter,25,182,69,20.8,309,303,0,0,191,4,4,4,12,0.43,1.42,
Lisa Gründing,GER,Middle Blocker,28,186,68,19.7,303,291,16,0,80,44,26,10,80,0.49,0,
Lisvel Elisa Eve Mejia,DOM,Opposite Spiker,28,194,90,23.9,325,315,140,0,67,52,32,9,93,1.44,0.05,
